分支,類型,名稱,指令,內容
DEFAULT,TALK,女主角,,你...沒事吧？
DEFAULT,TALK,,,女主角盯著面前身受重傷的男子。
DEFAULT,TALK,男主角,,能不能幫......幫我？
DEFAULT,TALK,女主角,,你是獵人嗎？
DEFAULT,TALK,男主角,,會出現在這種鬼地方也只有獵人吧。
DEFAULT,TALK,女主角,,還有強盜。
DEFAULT,TALK,男主角,,.......................。
DEFAULT,TALK,男主角,,哈哈說的也是。
DEFAULT,TALK,男主角,,我是正規獵人，這是我的執照。
DEFAULT,TALK,,,男主角遞給女主角他的執照。
DEFAULT,TALK,,,還真的是獵人。
DEFAULT,TALK,,,等級為初級，竟然把自己的權能也記錄上去。
DEFAULT,TALK,,,真憨啊。
DEFAULT,TALK,,,應該不會是強盜。
DEFAULT,TALK,,,但這個傷勢必須用到上級治癒藥水。
DEFAULT,TALK,,,......。
DEFAULT,TALK,,,該幫助他嗎？
DEFAULT,CHOICE,,HELP,幫助他
DEFAULT,CHOICE,,,但我拒絕
HELP,TALK,,,女主角幫男主角包紮。
HELP,TALK,女主角,,你好歹也是獵人啊......。
HELP,TALK,女主角,,怎麼會傷的那麼重？
HELP,TALK,男主角,,這可是跟沙漠狂獸英勇奮鬥後留下的戰士勳章。
HELP,TALK,,,男主角驕傲地指著胸前的傷口。
HELP,TALK,女主角,,沙漠狂獸？
HELP,TALK,男主角,,對啊。
HELP,TALK,女主角,,......。
HELP,TALK,女主角,,是變異的沙漠狂獸嗎？
HELP,TALK,女主角,,身長多少？
HELP,TALK,女主角,,有什麼變異權能嗎？
HELP,TALK,男主角,,沒、沒啦，是普通的沙漠狂獸，只是數量有點多。
HELP,TALK,女主角,,等等，如果我的理解正確，你是被評定等級為區區初級的魔獸打傷？
HELP,TALK,男主角,,......。
HELP,TALK,女主角,,有稍微訓練的小孩子都能打倒的沙漠異獸？
HELP,TALK,女主角,,你好歹也有中級權能。
HELP,TALK,女主角,,到底怎麼輸的？
HELP,TALK,男主角,,......痾。
HELP,TALK,女主角,,不愧是英勇的戰士啊。
HELP,TALK,女主角,,真厲害。
HELP,TALK,男主角,,別、別說了。
HELP,TALK,男主角,,我也只是第一次下來的初級獵人。
HELP,TALK,,,男主角尷尬地低著頭。
HELP,TALK,女主角,,這麼說來你的執照上有寫。
HELP,TALK,女主角,,你是怎麼下來的？
HELP,TALK,女主角,,正常不都會由中級獵人帶初級獵人嗎？
HELP,TALK,男主角,,跑了。
HELP,TALK,女主角,,跑了？
HELP,TALK,男主角,,對......他在看到等級為上級的風沙追獵者後就丟下我烙幹了。
HELP,TALK,女主角,,......。
HELP,TALK,女主角,,你也真是可憐。
HELP,TALK,女主角,,需要我帶你回天空島嗎？
HELP,TALK,男主角,,可以嗎？
HELP,TALK,女主角,,當然，我不想今天見過的人明天就死了。
HELP,TALK,男主角,,真的感謝。
HELP,TALK,女主角,,不用謝。
HELP,CHOICE,END,DEFAULT,離開
