分支,類型,名稱,指令,內容
DEFAULT,TALK,,,步行了一段時間，由於一路上都是岩石與沙土，且高低落差又大，消耗了我不少體力，相當地累人，看來我最近有點疏於鍛鍊，正當我這麼想之際。
DEFAULT,TALK,,,就發現眼前有數條形似鬣狗的魔獸，據說是因為審判日降臨，強大的詛咒侵蝕世界各地，大部分野獸遭到侵蝕，變異成長相畸形的怪物，在大幅度增強其戰鬥能力的同時，身上的素材也變得相當值錢，而這些怪物被統稱為魔獸。
DEFAULT,TALK,,,與此相應誕生出專門獵殺牠們的職業，就是像我一樣的獵人，基本只要工作一周賺到的錢，可以供人吃喝玩樂數月，這正是我選擇這份工作的原因。
DEFAULT,TALK,,,然而經常有沒能力的傻子，被獵人表面的高報酬所蒙蔽，忘記魔獸的危險性，以及大陸上帶有侵蝕性的詛咒，導致許多新手獵人的死亡率居高不下，不是被魔獸撕碎，就已經被詛咒逼瘋。
DEFAULT,TALK,,,因此每次出門狩獵，我都會將各種藥品準備好，以防各種不測，不過眼前的魔獸倒是不足為慮，屬於等級評定初級中最弱的魔獸，被稱為沙漠狂獸。
DEFAULT,TALK,,,基本有稍微訓練過的小孩子都可以輕鬆對付，只是麻煩點是牠們的群居的習性，經常都是遇到一整個群體，不過對我來說沒什麼差別，我決定迅速將牠們解決，再準備繼續趕路。
DEFAULT,CALL,,BATTLE,
BATTLE,TALK,,,我用魔法解決了前來纏鬥的魔獸，牠們鮮紅的屍塊零散地灑落在沙地上，空氣中還飄散著陣陣燒焦味，雖然早已經見慣這些場面，但等等肯定又吃不下午餐。
BATTLE,TALK,,,全身都腰酸背痛。
BATTLE,TALK,,,真的受不了。
BATTLE,TALK,,,不知什麼原因，最近的魔獸數量激增，就像是被驅趕到這裡一樣。
BATTLE,TALK,,,到底是怎麼回事呢？
BATTLE,TALK,,,不過沒遇到更強大的魔獸，我算幸運了吧。
BATTLE,TALK,,,我加速向著東方的傳送陣前行，期望著能早日回到溫暖的家。
BATTLE,TALK,,,此時的我還不知道這趟返家之旅會相當曲折。
BATTLE,CALL,,END,
