分支,類型,名稱,指令,內容
DEFAULT,TALK,,,.....................................................。
DEFAULT,TALK,,,..................................。
DEFAULT,TALK,,,.......。
DEFAULT,TALK,,,我緩緩地睜開雙眼，映入眼簾的是一片金黃沙漠，以及兩顆如火球般炙熱的太陽。
DEFAULT,TALK,,,南方大陸。
DEFAULT,TALK,,,這是一個幾乎沒有植物，地面滿是沙土和岩石的大陸，極端的氣候和崎嶇的地形，還有其高濃度的詛咒孕育出的強大魔獸，讓人們想要橫越南方大陸需要花上更多的精力與時間。
DEFAULT,TALK,,,與之殘酷環境的對比，就是這片大陸物種或遺跡蘊含的價值，使得每年依舊有許多人對這片大陸趨之若鶩，即便會丟掉自己的性命。
DEFAULT,TALK,,,而我就是其中的一員。
DEFAULT,TALK,莉莎,,早上了嗎？
DEFAULT,TALK,,,我喃喃自語並從睡袋裡爬了出來。
DEFAULT,TALK,莉莎,,好亮。
DEFAULT,TALK,莉莎,,唉......真不想醒來。
DEFAULT,TALK,莉莎,,好想永遠縮在睡袋裡不用起來。
DEFAULT,TALK,莉莎,,但身上的錢......。
DEFAULT,TALK,,,我伸手摸了摸錢袋，裏頭空空如也。
DEFAULT,TALK,莉莎,,什麼時候也讓我中個彩票頭獎之類的。
DEFAULT,TALK,莉莎,,不過昨天又做了那個奇怪的夢。
DEFAULT,TALK,莉莎,,回想起不久前做的夢，還是覺得莫名其妙，自從25歲那年生日開始，就會斷斷續續夢到相似的夢境，原本還以為只是偶然，過一陣子就會結束，沒想到就連續做了相似的夢境長達半年。
DEFAULT,TALK,莉莎,,真晦氣。
DEFAULT,TALK,,,我拿起鏡子照著自己。
DEFAULT,TALK,莉莎,,唉......這模樣真是可憐。
DEFAULT,TALK,莉莎,,每天都是一個無止境的循環。
DEFAULT,TALK,莉莎,,這就是我的人生嗎？
DEFAULT,TALK,,,在我嘆氣的同時，收好了過夜用的湛藍色睡袋，便開始移動。
DEFAULT,TALK,,,向著位於南方大陸東北側的傳送陣。
DEFAULT,CALL,,END,
